Date,Series,Venue,Toss_Winner,Toss_Decision,1st_Inn_Runs,1st_Inn_Wkts,2nd_Inn_Runs,2nd_Inn_Wkts,3rd_Inn_Runs,3rd_Inn_Wkts,4th_Inn_Runs,4th_Inn_Wkts,Result,POM,Format,Search_Field,Toss_Enc,Venue_Enc
25/05/19,UAE v BAN,Sharjah Cricket Stadium,Bangladesh,Bat,148,9,149,8,0,0,0,0,UAE (2 wkts),Muhammad Waseem,T20,UAE V BAN BANGLADESH UAE (2 WKTS),2,112
25/05/21,UAE v BAN,Sharjah Cricket Stadium,UAE,Bowl,132,10,133,3,0,0,0,0,UAE (7 wkts),Basil Hameed,T20,UAE V BAN UAE UAE (7 WKTS),22,112
25/05/28,PAK v BAN,Gaddafi Stadium,Pakistan,Bat,188,5,151,9,0,0,0,0,PAK (37 runs),Mohammad Rizwan,T20,PAK V BAN PAKISTAN PAK (37 RUNS),15,36
25/05/30,PAK v BAN,Gaddafi Stadium,Bangladesh,Bowl,202,4,145,8,0,0,0,0,PAK (57 runs),Babar Azam,T20,PAK V BAN BANGLADESH PAK (57 RUNS),2,36
25/06/01,PAK v BAN,Gaddafi Stadium,Pakistan,Bowl,135,9,136,3,0,0,0,0,PAK (7 wkts),Shaheen Afridi,T20,PAK V BAN PAKISTAN PAK (7 WKTS),15,36
25/07/10,SL v BAN,Pallekele International Stadium,Sri Lanka,Bowl,152,8,153,3,0,0,0,0,SL (7 wkts),Pathum Nissanka,T20,SL V BAN SRI LANKA SL (7 WKTS),21,84
25/07/13,SL v BAN,Rangiri Dambulla Stadium,Bangladesh,Bat,198,4,115,10,0,0,0,0,BAN (83 runs),Towhid Hridoy,T20,SL V BAN BANGLADESH BAN (83 RUNS),2,99
25/07/16,SL v BAN,R. Premadasa Stadium,Sri Lanka,Bat,142,9,143,2,0,0,0,0,BAN (8 wkts),Najmul Hossain Shanto,T20,SL V BAN SRI LANKA BAN (8 WKTS),21,94
25/07/20,BAN v PAK,Shere Bangla National Stadium,Pakistan,Bowl,165,7,166,3,0,0,0,0,BAN (7 wkts),Shakib Al Hasan,T20,BAN V PAK PAKISTAN BAN (7 WKTS),15,115
25/07/22,BAN v PAK,Shere Bangla National Stadium,Bangladesh,Bat,158,6,150,9,0,0,0,0,BAN (8 runs),Mustafizur Rahman,T20,BAN V PAK BANGLADESH BAN (8 RUNS),2,115
25/07/24,BAN v PAK,Shere Bangla National Stadium,Bangladesh,Bowl,210,4,136,10,0,0,0,0,PAK (74 runs),Fakhar Zaman,T20,BAN V PAK BANGLADESH PAK (74 RUNS),2,115
25/08/30,BAN v NED,Sylhet International Stadium,Netherlands,Bowl,172,5,173,2,0,0,0,0,BAN (8 wkts),Tanzid Hasan,T20,BAN V NED NETHERLANDS BAN (8 WKTS),12,130
25/09/01,BAN v NED,Sylhet International Stadium,Bangladesh,Bowl,132,10,133,1,0,0,0,0,BAN (9 wkts),Taskin Ahmed,T20,BAN V NED BANGLADESH BAN (9 WKTS),2,130
25/09/03,BAN v NED,Sylhet International Stadium,Netherlands,Bat,45,3,0,0,0,0,0,0,No Result,,T20,BAN V NED NETHERLANDS NO RESULT,12,130
25/09/11,Asia Cup (v HK),Sheikh Zayed Stadium,Bangladesh,Bowl,118,9,119,3,0,0,0,0,BAN (7 wkts),Mahedi Hasan,T20,ASIA CUP (V HK) BANGLADESH BAN (7 WKTS),2,114
25/09/13,Asia Cup (v SL),Sheikh Zayed Stadium,Bangladesh,Bowl,168,6,162,10,0,0,0,0,SL (6 runs),Wanindu Hasaranga,T20,ASIA CUP (V SL) BANGLADESH SL (6 RUNS),2,114
25/09/16,Asia Cup (v AFG),Sheikh Zayed Stadium,Bangladesh,Bat,154,8,146,9,0,0,0,0,BAN (8 runs),Shakib Al Hasan,T20,ASIA CUP (V AFG) BANGLADESH BAN (8 RUNS),2,114
25/09/20,Asia Cup (v SL),Dubai Intl Stadium,Sri Lanka,Bat,172,7,175,6,0,0,0,0,BAN (4 wkts),Towhid Hridoy,T20,ASIA CUP (V SL) SRI LANKA BAN (4 WKTS),21,31
25/09/24,Asia Cup (v IND),Dubai Intl Stadium,India,Bat,185,5,144,9,0,0,0,0,IND (41 runs),Suryakumar Yadav,T20,ASIA CUP (V IND) INDIA IND (41 RUNS),6,31
25/09/25,Asia Cup (v PAK),Dubai Intl Stadium,Bangladesh,Bowl,162,6,151,9,0,0,0,0,PAK (11 runs),Haris Rauf,T20,ASIA CUP (V PAK) BANGLADESH PAK (11 RUNS),2,31
25/10/02,AFG v BAN,Sharjah Cricket Stadium,Bangladesh,Bowl,142,9,143,6,0,0,0,0,BAN (4 wkts),Mustafizur Rahman,T20,AFG V BAN BANGLADESH BAN (4 WKTS),2,112
25/10/03,AFG v BAN,Sharjah Cricket Stadium,Afghanistan,Bat,156,6,157,8,0,0,0,0,BAN (2 wkts),Towhid Hridoy,T20,AFG V BAN AFGHANISTAN BAN (2 WKTS),0,112
25/10/05,AFG v BAN,Sharjah Cricket Stadium,Afghanistan,Bat,138,10,141,4,0,0,0,0,BAN (6 wkts),Rishad Hossain,T20,AFG V BAN AFGHANISTAN BAN (6 WKTS),0,112
25/10/27,BAN v WI,B.S.F.L.M. Rahman Stadium,West Indies,Bat,164,7,148,9,0,0,0,0,WI (16 runs),Nicholas Pooran,T20,BAN V WI WEST INDIES WI (16 RUNS),25,6
25/10/29,BAN v WI,B.S.F.L.M. Rahman Stadium,West Indies,Bat,158,8,144,10,0,0,0,0,WI (14 runs),Andre Russell,T20,BAN V WI WEST INDIES WI (14 RUNS),25,6
25/10/31,BAN v WI,B.S.F.L.M. Rahman Stadium,Bangladesh,Bat,132,10,133,5,0,0,0,0,WI (5 wkts),Alzarri Joseph,T20,BAN V WI BANGLADESH WI (5 WKTS),2,6
25/11/27,BAN v IRE,B.S.F.L.M. Rahman Stadium,Ireland,Bat,182,6,143,10,0,0,0,0,IRE (39 runs),Paul Stirling,T20,BAN V IRE IRELAND IRE (39 RUNS),7,6
25/11/29,BAN v IRE,B.S.F.L.M. Rahman Stadium,Bangladesh,Bowl,155,9,156,6,0,0,0,0,BAN (4 wkts),Shoriful Islam,T20,BAN V IRE BANGLADESH BAN (4 WKTS),2,6
25/12/02,BAN v IRE,B.S.F.L.M. Rahman Stadium,Bangladesh,Bowl,128,10,129,2,0,0,0,0,BAN (8 wkts),Litton Das,T20,BAN V IRE BANGLADESH BAN (8 WKTS),2,6
26/04/27,BAN v NZ,B.S.F.L.M. Rahman Stadium,Bangladesh,Bowl,145,8,146,4,0,0,0,0,BAN (6 wkts),Mahedi Hasan,T20,BAN V NZ BANGLADESH BAN (6 WKTS),2,6
26/05/02,BAN v NZ,Shere Bangla National Stadium,New Zealand,Bat,168,6,162,9,0,0,0,0,NZ (6 wkts),Glenn Phillips,T20,BAN V NZ NEW ZEALAND NZ (6 WKTS),13,115
24/05/25,ENG v PAK,Edgbaston,Pakistan,Bowl,183,7,160,10,0,0,0,0,ENG (23 runs),Jos Buttler,T20,ENG V PAK PAKISTAN ENG (23 RUNS),15,34
24/05/30,ENG v PAK,Kennington Oval,England,Bowl,157,10,158,3,0,0,0,0,ENG (7 wkts),Adil Rashid,T20,ENG V PAK ENGLAND ENG (7 WKTS),4,54
24/06/04,T20 WC (SCO),Kensington Oval,Scotland,Bat,90,0,0,0,0,0,0,0,No Result,,T20,T20 WC (SCO) SCOTLAND NO RESULT,18,55
24/06/08,T20 WC (AUS),Kensington Oval,England,Bowl,201,7,165,6,0,0,0,0,AUS (36 runs),Adam Zampa,T20,T20 WC (AUS) ENGLAND AUS (36 RUNS),4,55
24/06/13,T20 WC (OMA),Sir Vivian Richards Stadium,England,Bowl,47,10,50,2,0,0,0,0,ENG (8 wkts),Adil Rashid,T20,T20 WC (OMA) ENGLAND ENG (8 WKTS),4,122
24/06/15,T20 WC (NAM),Sir Vivian Richards Stadium,Namibia,Bowl,122,5,84,3,0,0,0,0,ENG (41 runs*),Harry Brook,T20,T20 WC (NAM) NAMIBIA ENG (41 RUNS*),10,122
24/06/19,T20 WC (WI),Daren Sammy Ground,England,Bowl,180,4,181,2,0,0,0,0,ENG (8 wkts),Phil Salt,T20,T20 WC (WI) ENGLAND ENG (8 WKTS),4,26
24/06/21,T20 WC (SA),Daren Sammy Ground,England,Bowl,163,6,156,6,0,0,0,0,SA (7 runs),Quinton de Kock,T20,T20 WC (SA) ENGLAND SA (7 RUNS),4,26
24/06/23,T20 WC (USA),Kensington Oval,England,Bowl,115,10,117,0,0,0,0,0,ENG (10 wkts),Adil Rashid,T20,T20 WC (USA) ENGLAND ENG (10 WKTS),4,55
24/06/27,T20 WC SF (IND),Providence Stadium,England,Bowl,171,7,103,10,0,0,0,0,IND (68 runs),Axar Patel,T20,T20 WC SF (IND) ENGLAND IND (68 RUNS),4,89
24/09/11,ENG v AUS,The Rose Bowl,England,Bowl,179,10,151,10,0,0,0,0,AUS (28 runs),Travis Head,T20,ENG V AUS ENGLAND AUS (28 RUNS),4,132
24/09/13,ENG v AUS,Sophia Gardens,Australia,Bat,193,6,194,7,0,0,0,0,ENG (3 wkts),Liam Livingstone,T20,ENG V AUS AUSTRALIA ENG (3 WKTS),1,124
24/11/09,WI v ENG,Kensington Oval,England,Bowl,182,9,183,2,0,0,0,0,ENG (8 wkts),Phil Salt,T20,WI V ENG ENGLAND ENG (8 WKTS),4,55
24/11/10,WI v ENG,Kensington Oval,England,Bowl,158,8,161,3,0,0,0,0,ENG (7 wkts),Jos Buttler,T20,WI V ENG ENGLAND ENG (7 WKTS),4,55
24/11/14,WI v ENG,Daren Sammy Ground,England,Bowl,145,8,149,7,0,0,0,0,ENG (3 wkts),Sam Curran,T20,WI V ENG ENGLAND ENG (3 WKTS),4,26
24/11/16,WI v ENG,Daren Sammy Ground,West Indies,Bat,221,5,216,7,0,0,0,0,WI (5 wickets),Evin Lewis,T20,WI V ENG WEST INDIES WI (5 WICKETS),25,26
24/11/17,WI v ENG,Daren Sammy Ground,England,Bowl,44,0,0,0,0,0,0,0,No Result,,T20,WI V ENG ENGLAND NO RESULT,4,26
25/01/22,IND v ENG,Eden Gardens,India,Bowl,178,7,179,3,0,0,0,0,IND (7 wkts),Suryakumar Yadav,T20,IND V ENG INDIA IND (7 WKTS),6,32
25/01/25,IND v ENG,MA Chidambaram Stadium,England,Bat,162,8,163,8,0,0,0,0,IND (2 wkts),Hardik Pandya,T20,IND V ENG ENGLAND IND (2 WKTS),4,63
25/01/28,IND v ENG,Saurashtra Association,England,Bat,194,5,168,9,0,0,0,0,ENG (26 runs),Phil Salt,T20,IND V ENG ENGLAND ENG (26 RUNS),4,106
25/01/31,IND v ENG,MCA Stadium,India,Bat,185,6,170,8,0,0,0,0,IND (15 runs),Jasprit Bumrah,T20,IND V ENG INDIA IND (15 RUNS),6,64
25/02/02,IND v ENG,Wankhede Stadium,India,Bat,240,3,90,10,0,0,0,0,IND (150 runs),Rohit Sharma,T20,IND V ENG INDIA IND (150 RUNS),6,141
25/06/06,ENG v WI,Riverside Ground,West Indies,Bowl,188,6,167,9,0,0,0,0,ENG (21 runs),Will Jacks,T20,ENG V WI WEST INDIES ENG (21 RUNS),25,102
25/06/08,ENG v WI,County Ground,England,Bowl,155,8,156,6,0,0,0,0,ENG (4 wkts),Jofra Archer,T20,ENG V WI ENGLAND ENG (4 WKTS),4,24
25/06/10,ENG v WI,The Rose Bowl,West Indies,Bowl,202,4,165,9,0,0,0,0,ENG (37 runs),Jos Buttler,T20,ENG V WI WEST INDIES ENG (37 RUNS),25,132
25/09/10,ENG v SA,Sophia Gardens,South Africa,Bat,172,7,158,8,0,0,0,0,SA (14 runs),David Miller,T20,ENG V SA SOUTH AFRICA SA (14 RUNS),20,124
25/09/12,ENG v SA,Old Trafford,England,Bat,225,4,79,10,0,0,0,0,ENG (146 runs),Harry Brook,T20,ENG V SA ENGLAND ENG (146 RUNS),4,81
25/09/17,IRE v ENG,The Village,England,Bowl,164,8,165,6,0,0,0,0,ENG (4 wkts),Mark Wood,T20,IRE V ENG ENGLAND ENG (4 WKTS),4,133
25/09/21,IRE v ENG,The Village,Ireland,Bat,152,9,153,4,0,0,0,0,ENG (6 wkts),Jamie Overton,T20,IRE V ENG IRELAND ENG (6 WKTS),7,133
25/10/18,NZ v ENG,Hagley Oval,New Zealand,Bowl,48,2,0,0,0,0,0,0,No Result,,T20,NZ V ENG NEW ZEALAND NO RESULT,13,45
25/10/20,NZ v ENG,Hagley Oval,England,Bat,212,5,147,10,0,0,0,0,ENG (65 runs),Liam Livingstone,T20,NZ V ENG ENGLAND ENG (65 RUNS),4,45
25/10/23,NZ v ENG,Eden Park,England,Bowl,32,1,0,0,0,0,0,0,No Result,,T20,NZ V ENG ENGLAND NO RESULT,4,33
26/01/30,SL v ENG,Pallekele Intl Stadium,Sri Lanka,Bowl,178,6,167,9,0,0,0,0,ENG (11 runs),Phil Salt,T20,SL V ENG SRI LANKA ENG (11 RUNS),21,85
26/02/01,SL v ENG,Pallekele Intl Stadium,England,Bowl,154,8,155,4,0,0,0,0,ENG (6 wkts),Adil Rashid,T20,SL V ENG ENGLAND ENG (6 WKTS),4,85
26/02/03,SL v ENG,Pallekele Intl Stadium,England,Bat,168,7,156,8,0,0,0,0,ENG (12 runs),Sam Curran,T20,SL V ENG ENGLAND ENG (12 RUNS),4,85
26/02/08,T20 WC (NEP),Wankhede Stadium,Nepal,Bowl,182,6,178,7,0,0,0,0,ENG (4 runs),Jos Buttler,T20,T20 WC (NEP) NEPAL ENG (4 RUNS),11,141
26/02/11,T20 WC (WI),Wankhede Stadium,England,Bowl,192,5,162,8,0,0,0,0,WI (30 runs),Nicholas Pooran,T20,T20 WC (WI) ENGLAND WI (30 RUNS),4,141
26/02/14,T20 WC (SCO),Eden Gardens,England,Bowl,142,9,143,5,0,0,0,0,ENG (5 wkts),Jofra Archer,T20,T20 WC (SCO) ENGLAND ENG (5 WKTS),4,32
26/02/16,T20 WC (ITA),Eden Gardens,England,Bat,204,4,180,7,0,0,0,0,ENG (24 runs),Will Jacks,T20,T20 WC (ITA) ENGLAND ENG (24 RUNS),4,32
26/02/22,T20 WC Super 8 (SL),Pallekele Intl Stadium,Sri Lanka,Bowl,146,9,95,10,0,0,0,0,ENG (51 runs),Jos Buttler,T20,T20 WC SUPER 8 (SL) SRI LANKA ENG (51 RUNS),21,85
26/02/24,T20 WC Super 8 (PAK),Pallekele Intl Stadium,Pakistan,Bat,168,8,169,8,0,0,0,0,ENG (2 wkts),Liam Livingstone,T20,T20 WC SUPER 8 (PAK) PAKISTAN ENG (2 WKTS),15,85
26/02/27,T20 WC Super 8 (NZ),R. Premadasa Stadium,New Zealand,Bat,155,7,156,6,0,0,0,0,ENG (4 wkts),Adil Rashid,T20,T20 WC SUPER 8 (NZ) NEW ZEALAND ENG (4 WKTS),13,94
26/03/05,T20 WC SF (IND),Wankhede Stadium,England,Bowl,253,7,246,7,0,0,0,0,IND (7 runs),Sanju Samson,T20,T20 WC SF (IND) INDIA IND (7 RUNS),6,141
26/07/04,IND v ENG,Old Trafford,India,Bat,190,7,191,6,0,0,0,0,ENG (4 wickets),Jacob Bethell,T20,ENG V IND ENGLAND ENG (4 WKTS),6,114
26/07/07,IND v ENG,Trent Bridge,England,Bat,201,7,76,10,0,0,0,0,ENG (125 runs),Jofra Archer,T20,ENG V IND ENGLAND ENG (125 RUNS),30,114
26/07/09,IND v ENG,Gloucestershire Cricket,India,Bat,158,7,159,1,0,0,0,0,ENG (9 wickets),Harry Brook,T20,ENG V IND ENGLAND ENG (9 WKTS),19,155
26/07/11,IND v ENG,West End,India,Bowl,257,3,201,8,0,0,0,0,ENG (56 runs),Jos Buttler,T20,ENG V IND ENGLAND ENG (56 RUNS),24,127
,,,,,0,0,0,0,0,0,0,0,,,T20,,27,147
,,,,,0,0,0,0,0,0,0,0,,,T20,,27,147
,,,,,0,0,0,0,0,0,0,0,,,T20,,27,147
,,,,,0,0,0,0,0,0,0,0,,,T20,,27,147
,,,,,0,0,0,0,0,0,0,0,,,T20,,27,147
,,,,,0,0,0,0,0,0,0,0,,,T20,,27,147
,,,,,0,0,0,0,0,0,0,0,,,T20,,27,147
24/01/11,IND v AFG,PCA IS Bindra Stadium,India,Bowl,158,5,159,4,0,0,0,0,IND (6 wkts),Shivam Dube,T20,IND V AFG INDIA IND (6 WKTS),6,82
24/01/14,IND v AFG,Holkar Cricket Stadium,India,Bowl,172,10,173,4,0,0,0,0,IND (6 wkts),Axar Patel,T20,IND V AFG INDIA IND (6 WKTS),6,49
24/01/17,IND v AFG,M. Chinnaswamy Stadium,Afghanistan,Bat,212,4,212,6,0,0,0,0,IND (Super Over),Rohit Sharma,T20,IND V AFG AFGHANISTAN IND (SUPER OVER),0,61
24/06/05,T20 WC (IRE),Nassau County Stadium,India,Bowl,96,10,97,2,0,0,0,0,IND (8 wkts),Rohit Sharma,T20,T20 WC (IRE) INDIA IND (8 WKTS),6,75
24/06/09,T20 WC (PAK),Nassau County Stadium,Pakistan,Bowl,119,10,113,7,0,0,0,0,IND (6 runs),Jasprit Bumrah,T20,T20 WC (PAK) PAKISTAN IND (6 RUNS),15,75
24/06/12,T20 WC (USA),Nassau County Stadium,India,Bowl,110,8,111,3,0,0,0,0,IND (7 wkts),Arshdeep Singh,T20,T20 WC (USA) INDIA IND (7 WKTS),6,75
24/06/20,T20 WC (AFG),Kensington Oval,India,Bat,181,8,134,10,0,0,0,0,IND (47 runs),Suryakumar Yadav,T20,T20 WC (AFG) INDIA IND (47 RUNS),6,55
24/06/22,T20 WC (BAN),Sir Vivian Richards Stadium,Bangladesh,Bowl,196,5,146,8,0,0,0,0,IND (50 runs),Hardik Pandya,T20,T20 WC (BAN) BANGLADESH IND (50 RUNS),2,122
24/06/24,T20 WC (AUS),Daren Sammy Ground,Australia,Bowl,205,5,181,7,0,0,0,0,IND (24 runs),Rohit Sharma,T20,T20 WC (AUS) AUSTRALIA IND (24 RUNS),1,26
24/06/27,T20 WC SF (ENG),Providence Stadium,England,Bowl,171,7,103,10,0,0,0,0,IND (68 runs),Axar Patel,T20,T20 WC SF (ENG) ENGLAND IND (68 RUNS),4,89
24/06/29,T20 WC Final (SA),Kensington Oval,India,Bat,176,7,169,8,0,0,0,0,IND (7 runs),Virat Kohli,T20,T20 WC FINAL (SA) INDIA IND (7 RUNS),6,55
24/07/06,ZIM v IND,Harare Sports Club,Zimbabwe,Bowl,115,9,102,10,0,0,0,0,ZIM (13 runs),Sikandar Raza,T20,ZIM V IND ZIMBABWE ZIM (13 RUNS),26,46
24/07/07,ZIM v IND,Harare Sports Club,Zimbabwe,Bowl,234,2,134,10,0,0,0,0,IND (100 runs),Abhishek Sharma,T20,ZIM V IND ZIMBABWE IND (100 RUNS),26,46
24/07/10,ZIM v IND,Harare Sports Club,India,Bat,182,4,159,6,0,0,0,0,IND (23 runs),Ruturaj Gaikwad,T20,ZIM V IND INDIA IND (23 RUNS),6,46
24/07/13,ZIM v IND,Harare Sports Club,India,Bowl,152,7,156,0,0,0,0,0,IND (10 wkts),Yashasvi Jaiswal,T20,ZIM V IND INDIA IND (10 WKTS),6,46
24/07/14,ZIM v IND,Harare Sports Club,India,Bat,167,6,125,10,0,0,0,0,IND (42 runs),Shivam Dube,T20,ZIM V IND INDIA IND (42 RUNS),6,46
24/07/27,SL v IND,Pallekele Intl Stadium,Sri Lanka,Bowl,213,7,170,10,0,0,0,0,IND (43 runs),Suryakumar Yadav,T20,SL V IND SRI LANKA IND (43 RUNS),21,85
24/07/28,SL v IND,Pallekele Intl Stadium,India,Bowl,161,9,151,3,0,0,0,0,IND (7 wkts),Ravi Bishnoi,T20,SL V IND INDIA IND (7 WKTS),6,85
24/07/30,SL v IND,Pallekele Intl Stadium,Sri Lanka,Bowl,137,9,137,8,0,0,0,0,IND (Super Over),Washington Sundar,T20,SL V IND SRI LANKA IND (SUPER OVER),21,85
24/10/06,IND v BAN,Shrimant Madhavrao Stadium,India,Bowl,127,10,132,3,0,0,0,0,IND (7 wkts),Arshdeep Singh,T20,IND V BAN INDIA IND (7 WKTS),6,118
24/10/09,IND v BAN,Arun Jaitley Stadium,Bangladesh,Bowl,221,9,135,9,0,0,0,0,IND (86 runs),Nitish Kumar Reddy,T20,IND V BAN BANGLADESH IND (86 RUNS),2,4
24/10/12,IND v BAN,Rajiv Gandhi Intl Stadium,India,Bat,297,6,164,7,0,0,0,0,IND (133 runs),Sanju Samson,T20,IND V BAN INDIA IND (133 RUNS),6,95
24/11/08,SA v IND,Kingsmead,South Africa,Bowl,202,8,141,10,0,0,0,0,IND (61 runs),Sanju Samson,T20,SA V IND SOUTH AFRICA IND (61 RUNS),20,56
24/11/10,SA v IND,St George's Park,South Africa,Bowl,124,6,128,7,0,0,0,0,SA (3 wkts),Tristan Stubbs,T20,SA V IND SOUTH AFRICA SA (3 WKTS),20,126
24/11/13,SA v IND,SuperSport Park,South Africa,Bowl,219,6,208,7,0,0,0,0,IND (11 runs),Tilak Varma,T20,SA V IND SOUTH AFRICA IND (11 RUNS),20,127
24/11/15,SA v IND,Wanderers Stadium,India,Bat,283,1,148,10,0,0,0,0,IND (135 runs),Tilak Varma,T20,SA V IND INDIA IND (135 RUNS),6,140
25/01/22,IND v ENG,Eden Gardens,India,Bowl,178,7,179,3,0,0,0,0,IND (7 wkts),Suryakumar Yadav,T20,IND V ENG INDIA IND (7 WKTS),6,32
25/01/25,IND v ENG,MA Chidambaram Stadium,England,Bat,162,8,163,8,0,0,0,0,IND (2 wkts),Hardik Pandya,T20,IND V ENG ENGLAND IND (2 WKTS),4,63
25/01/28,IND v ENG,Saurashtra Association,England,Bat,194,5,168,9,0,0,0,0,ENG (26 runs),Phil Salt,T20,IND V ENG ENGLAND ENG (26 RUNS),4,106
25/01/31,IND v ENG,MCA Stadium,India,Bat,185,6,170,8,0,0,0,0,IND (15 runs),Jasprit Bumrah,T20,IND V ENG INDIA IND (15 RUNS),6,64
25/02/02,IND v ENG,Wankhede Stadium,India,Bat,240,3,90,10,0,0,0,0,IND (150 runs),Abhishek Sharma,T20,IND V ENG INDIA IND (150 RUNS),6,141
25/09/10,Asia Cup (UAE),Dubai Intl Stadium,India,Bowl,115,8,116,1,0,0,0,0,IND (9 wkts),Kuldeep Yadav,T20,ASIA CUP (UAE) INDIA IND (9 WKTS),6,31
25/09/14,Asia Cup (PAK),Dubai Intl Stadium,Pakistan,Bat,159,7,160,3,0,0,0,0,IND (7 wkts),Abhishek Sharma,T20,ASIA CUP (PAK) PAKISTAN IND (7 WKTS),15,31
25/09/19,Asia Cup (OMA),Sheikh Zayed Stadium,Oman,Bat,142,6,163,4,0,0,0,0,IND (21 runs),Axar Patel,T20,ASIA CUP (OMA) OMAN IND (21 RUNS),14,114
25/09/21,Asia Cup (PAK),Dubai Intl Stadium,India,Bowl,152,8,153,4,0,0,0,0,IND (6 wkts),Hardik Pandya,T20,ASIA CUP (PAK) INDIA IND (6 WKTS),6,31
25/09/24,Asia Cup (BAN),Dubai Intl Stadium,India,Bat,185,5,144,9,0,0,0,0,IND (41 runs),Suryakumar Yadav,T20,ASIA CUP (BAN) INDIA IND (41 RUNS),6,31
25/09/26,Asia Cup (SL),Dubai Intl Stadium,India,Bowl,168,7,168,6,0,0,0,0,IND (Super Over),Abhishek Sharma,T20,ASIA CUP (SL) INDIA IND (SUPER OVER),6,31
25/09/28,Asia Cup Final (PAK),Dubai Intl Stadium,Pakistan,Bat,165,8,166,5,0,0,0,0,IND (5 wkts),Tilak Varma,T20,ASIA CUP FINAL (PAK) PAKISTAN IND (5 WKTS),15,31
25/10/29,AUS v IND,Manuka Oval,India,Bowl,34,1,0,0,0,0,0,0,No Result,,T20,AUS V IND INDIA NO RESULT,6,66
25/10/31,AUS v IND,Melbourne Cricket Ground,Australia,Bowl,152,8,153,6,0,0,0,0,AUS (4 wkts),Travis Head,T20,AUS V IND AUSTRALIA AUS (4 WKTS),1,70
25/11/02,AUS v IND,Bellerive Oval,Australia,Bat,165,7,166,5,0,0,0,0,IND (5 wkts),Hardik Pandya,T20,AUS V IND AUSTRALIA IND (5 WKTS),1,12
25/11/06,AUS v IND,Carrara Oval,India,Bat,188,5,140,10,0,0,0,0,IND (48 runs),Jasprit Bumrah,T20,AUS V IND INDIA IND (48 RUNS),6,18
25/11/08,AUS v IND,Brisbane Cricket Ground,India,Bowl,88,3,0,0,0,0,0,0,No Result,,T20,AUS V IND INDIA NO RESULT,6,17
25/12/09,IND v SA,Barabati Stadium,South Africa,Bowl,210,4,109,10,0,0,0,0,IND (101 runs),Yashasvi Jaiswal,T20,IND V SA SOUTH AFRICA IND (101 RUNS),20,8
25/12/11,IND v SA,Maharaja Yadavindra,South Africa,Bat,185,5,134,8,0,0,0,0,SA (51 runs),David Miller,T20,IND V SA SOUTH AFRICA SA (51 RUNS),20,65
25/12/14,IND v SA,HPCA Stadium,India,Bowl,158,8,159,3,0,0,0,0,IND (7 wkts),Mohammed Siraj,T20,IND V SA INDIA IND (7 WKTS),6,44
25/12/19,IND v SA,Narendra Modi Stadium,South Africa,Bowl,192,5,162,9,0,0,0,0,IND (30 runs),Rinku Singh,T20,IND V SA SOUTH AFRICA IND (30 RUNS),20,73
26/01/21,IND v NZ,Vidarbha Association,New Zealand,Bowl,198,4,150,10,0,0,0,0,IND (48 runs),Shubman Gill,T20,IND V NZ NEW ZEALAND IND (48 RUNS),13,138
26/01/23,IND v NZ,Shaheed Veer Stadium,India,Bowl,145,8,146,3,0,0,0,0,IND (7 wkts),Arshdeep Singh,T20,IND V NZ INDIA IND (7 WKTS),6,111
26/01/25,IND v NZ,Barsapara Stadium,New Zealand,Bowl,162,7,163,2,0,0,0,0,IND (8 wkts),Ravi Bishnoi,T20,IND V NZ NEW ZEALAND IND (8 WKTS),13,9
26/01/28,IND v NZ,Dr. YS Rajasekhara,New Zealand,Bat,215,4,165,9,0,0,0,0,NZ (50 runs),Mitchell Santner,T20,IND V NZ NEW ZEALAND NZ (50 RUNS),13,29
26/01/31,IND v NZ,Greenfield Stadium,India,Bat,189,5,143,8,0,0,0,0,IND (46 runs),Hardik Pandya,T20,IND V NZ INDIA IND (46 RUNS),6,42
26/02/07,T20 WC (USA),Wankhede Stadium,USA,Bowl,176,6,147,9,0,0,0,0,IND (29 runs),Rohit Sharma,T20,T20 WC (USA) USA IND (29 RUNS),23,141
26/02/12,T20 WC (NAM),Arun Jaitley Stadium,Namibia,Bowl,209,9,116,10,0,0,0,0,IND (93 runs),Suryakumar Yadav,T20,T20 WC (NAM) NAMIBIA IND (93 RUNS),10,4
26/02/15,T20 WC (PAK),R. Premadasa Stadium,Pakistan,Bowl,175,7,114,10,0,0,0,0,IND (61 runs),Jasprit Bumrah,T20,T20 WC (PAK) PAKISTAN IND (61 RUNS),15,94
26/02/18,T20 WC (NED),Narendra Modi Stadium,Netherlands,Bowl,164,7,147,9,0,0,0,0,IND (17 runs),Arshdeep Singh,T20,T20 WC (NED) NETHERLANDS IND (17 RUNS),12,73
26/02/22,T20 WC Super 8 (SA),Narendra Modi Stadium,South Africa,Bat,187,7,111,10,0,0,0,0,SA (76 runs),Heinrich Klaasen,T20,T20 WC SUPER 8 (SA) SOUTH AFRICA SA (76 RUNS),20,73
26/02/26,T20 WC Super 8 (ZIM),MA Chidambaram Stadium,Zimbabwe,Bowl,256,4,184,6,0,0,0,0,IND (72 runs),Abhishek Sharma,T20,T20 WC SUPER 8 (ZIM) ZIMBABWE IND (72 RUNS),26,63
26/03/01,T20 WC Super 8 (WI),Eden Gardens,West Indies,Bat,195,4,199,5,0,0,0,0,IND (5 wkts),Sanju Samson,T20,T20 WC SUPER 8 (WI) WEST INDIES IND (5 WKTS),25,32
